"New User","Новый пользователь"
"Email is Null, Please enter email in your %1 profile","Электронная почта - Null, введите адрес электронной почты в свой профиль %1"
"Incorrect CAPTCHA.","Неправильная CAPTCHA."
"Data error. Please try again.","Ошибка данных. Пожалуйста, попробуйте еще раз."
"Please make sure your passwords match.","Убедитесь, что ваши пароли совпадают."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Вы должны подтвердить свою учетную запись. Пожалуйста, проверьте адрес электронной почты для ссылки на подтверждение или <a href=""%1"">нажмите здесь</a> для новой ссылки."
"Create an account successfully. Please wait...","Создайте учетную запись успешно. Пожалуйста, подождите..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Этот адрес электронной почты уже зарегистрирован. Если вы уверены, что это ваш адрес электронной почты, <a href=""%1"">нажмите здесь</a> , чтобы получить свой пароль и получить доступ к своей учетной записи."
"We can't save the customer.","Мы не можем сохранить клиента."
"Please correct the email address.","Пожалуйста, исправьте адрес электронной почты."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Если есть учетная запись, связанная с %1 , вы получите электронное письмо со ссылкой для сброса пароля."
"We're unable to send the password reset email.","Мы не можем отправить электронное письмо с возвратом пароля."
"Ooophs, we got an error: %1","Ooophs, мы получили ошибку: %1"
"Default","По умолчанию"
"Orange","оранжевый"
"Green","зеленый"
"Black","черный"
"Blue","синий"
"Dark Blue","Темно-синий"
"Pink","розовый"
"Red","красный"
"Violet","Фиолетовый"
"Custom","изготовленный на заказ"
"Zoom","Увеличить"
"Newspaper","Газета"
"Horizontal move","Горизонтальное перемещение"
"Move from top","Переместить сверху"
"3D unfold","3D разворачивается"
"Zoom-out","Уменьшить"
"-- Please Select --","-- Пожалуйста выберите --"
"Customer Login Page","Страница входа в систему"
"Customer Create Page","Создать страницу клиента"
"Social Popup Login","Вход в социальные сети"
"Login By %1","Войти через %1"
"Sign in with %1","Войти через %1"
"Sign In","Войти в систему"
"Registered Customers","Зарегистрированные клиенты"
"* Required Fields","* Обязательные поля"
"Email","Эл. адрес"
"Password","пароль"
"Login","Авторизоваться"
"Forgot Your Password?","Забыли пароль?"
"Create New Account?","Создать новый аккаунт?"
"Or Sign In With","Или Войти с"
"Create New Account","Создать новый аккаунт"
"Sign Up for Newsletter","Подписаться на рассылку"
"Address Information","информация об адресе"
"Company","Компания"
"Phone Number","Номер телефона"
"Street Address","Адрес улицы"
"Address","Адрес"
"Street Address %1","Улица Адрес %1"
"City","город"
"State/Province","Штат / провинция"
"Please select a region, state or province.","Выберите регион, штат или провинцию."
"Zip/Postal Code","Почтовый индекс"
"Country","Страна"
"Confirm Password","Подтвердите Пароль"
"Create an Account","Завести аккаунт"
"Back","назад"
"Forgot Password","Забыли пароль"
"Please enter your email address below to receive a password reset link.","Пожалуйста, введите свой адрес электронной почты ниже, чтобы получить ссылку на сброс пароля."
"Submit","Отправить"
"Go back","Возвращаться"
"Social Login","Социальный вход"
"General","Генеральная"
"Enable","включить"
"Send Password To Customer","Отправить пароль клиенту"
"Show Social Login Buttons on","Показать кнопки социального входа"
"Use Popup Login","Использование Popup Login"
"Popup Effect","Эффект всплывающих окон"
"Style Management","Управление стилем"
"Custom Color","Пользовательский цвет"
"Custom CSS","Пользовательские CSS"
"Facebook","facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Создать приложение <a href=""https://developers.facebook.com/apps"" target=""_bank"">здесь</a>"
"Facebook App Id","Идентификатор приложения Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Действительные URI перенаправления OAuth"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Создать приложение <a href=""https://code.google.com/apis/console/"" target=""_bank"">здесь</a>"
"Client ID","ID клиента"
"Client Secret","Секрет клиента"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","щебет"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Создать приложение <a href=""https://dev.twitter.com/apps"" target=""_bank"">здесь</a>"
"Consumer Key","Потребительский ключ"
"Consumer Secret","Секрет потребителя"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Создать приложение <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">здесь</a>"
"Id Client","Id Client"
"Secret Client","Секретный клиент"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Создать приложение <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">здесь</a>"
"Foursquare","квадрат"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Создать приложение <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">здесь</a>"
"Callback Url","URL-адрес обратного вызова"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Создать приложение <a href=""https://new.vk.com/dev"" target=""_bank"">здесь</a>"
"Application ID","ID приложения"
"Secure Key","Защитный ключ"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Создать приложение <a href=""https://github.com/settings/applications/new"" target=""_bank"">здесь</a>"
