"New User","Uusi käyttäjä"
"Email is Null, Please enter email in your %1 profile","Sähköposti on tyhjä, kirjoita sähköpostiosoitteesi %1 -profiiliisi"
"Incorrect CAPTCHA.","Virheellinen CAPTCHA."
"Data error. Please try again.","Tietovirhe. Yritä uudelleen."
"Please make sure your passwords match.","Varmista, että salasanasi vastaavat."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sinun on vahvistettava tilisi. Tarkista sähköpostisi vahvistuslinkkiä tai <a href=""%1"">napsauttamalla tätä</a> uudelle linkille."
"Create an account successfully. Please wait...","Luo tili onnistuneesti. Odota..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Tällä sähköpostiosoitteella on jo tili. Jos olet varma, että se on sähköpostiosoitteesi, <a href=""%1"">napsauta tästä</a> saadaksesi salasanasi ja käytä tiliäsi."
"We can't save the customer.","Emme voi pelastaa asiakkaita."
"Please correct the email address.","Korjaa sähköpostiosoite."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jos tiliin on merkitty tili %1 , saat salasanan, jossa on linkki."
"We're unable to send the password reset email.","Emme voi lähettää salasanan palautusviestiä."
"Ooophs, we got an error: %1","Ooophs, saimme virheen: %1"
"Default","oletusarvo"
"Orange","Oranssi"
"Green","Vihreä"
"Black","Musta"
"Blue","Sininen"
"Dark Blue","Tummansininen"
"Pink","Vaaleanpunainen"
"Red","Punainen"
"Violet","Violetti"
"Custom","asiakassuhde"
"Zoom","Zoomaus"
"Newspaper","sanomalehti"
"Horizontal move","Vaaka liikkuu"
"Move from top","Siirry ylhäältä"
"3D unfold","3D avautuu"
"Zoom-out","Loitontaa"
"-- Please Select --","-- Ole hyvä ja valitse --"
"Customer Login Page","Asiakas kirjautuminen sivu"
"Customer Create Page","Asiakas luo sivun"
"Social Popup Login","Sosiaalinen popup-kirjautuminen"
"Login By %1","Kirjaudu sisään mennessä %1"
"Sign in with %1","Kirjaudu sisään %1"
"Sign In","Kirjaudu sisään"
"Registered Customers","Rekisteröityneet asiakkaat"
"* Required Fields","* Pakolliset kentät"
"Email","Sähköposti"
"Password","Salasana"
"Login","Kirjaudu sisään"
"Forgot Your Password?","Unohditko salasanasi?"
"Create New Account?","Luo uusi tili?"
"Or Sign In With","Tai kirjaudu sisään"
"Create New Account","Luo uusi tili"
"Sign Up for Newsletter","Tilaa uutiskirje"
"Address Information","Osoitetiedot"
"Company","Yhtiö"
"Phone Number","Puhelinnumero"
"Street Address","Katuosoite"
"Address","Osoite"
"Street Address %1","Katuosoite %1"
"City","Kaupunki"
"State/Province","Valtio / kunta"
"Please select a region, state or province.","Valitse alue, valtio tai maakunta."
"Zip/Postal Code","Postinumero"
"Country","Maa"
"Confirm Password","Vahvista salasana"
"Create an Account","Luo tili"
"Back","Takaisin"
"Forgot Password","Unohtuiko salasana"
"Please enter your email address below to receive a password reset link.","Syötä alla oleva sähköpostiosoitteesi saadaksesi salasanan uudelleenlinkkiä."
"Submit","Lähetä"
"Go back","Mene takaisin"
"Social Login","Sosiaalinen kirjautuminen"
"General","yleinen"
"Enable","ota käyttöön"
"Send Password To Customer","Lähetä salasana asiakkaalle"
"Show Social Login Buttons on","Näytä sosiaalisen tunnuksen painikkeet"
"Use Popup Login","Käytä popup-kirjautumista"
"Popup Effect","Popup-vaikutus"
"Style Management","Tyylihallinta"
"Custom Color","Mukautettu väri"
"Custom CSS","Custom CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Luo sovellus <a href=""https://developers.facebook.com/apps"" target=""_bank"">täältä</a>"
"Facebook App Id","Facebook-sovelluksen tunnus"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Voimassa OAuth-uudelleenohjaus URI: t"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Luo sovellus <a href=""https://code.google.com/apis/console/"" target=""_bank"">täältä</a>"
"Client ID","Asiakastunnus"
"Client Secret","Client Secret"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Viserrys"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Luo sovellus <a href=""https://dev.twitter.com/apps"" target=""_bank"">täältä</a>"
"Consumer Key","Kuluttajan avain"
"Consumer Secret","Consumer Secret"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Luo sovellus <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">täältä</a>"
"Id Client","Id asiakas"
"Secret Client","Salainen asiakas"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Luo sovellus <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">täältä</a>"
"Foursquare","luja"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Luo sovellus <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">täältä</a>"
"Callback Url","Kutsu Url"
"Vkontakte","vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Luo sovellus <a href=""https://new.vk.com/dev"" target=""_bank"">täältä</a>"
"Application ID","Sovelluksen tunnus"
"Secure Key","Secure Key"
"Github","GitHub"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Luo sovellus <a href=""https://github.com/settings/applications/new"" target=""_bank"">täältä</a>"
