"New User","Ny bruger"
"Email is Null, Please enter email in your %1 profile","Email er Null, venligst indtast email i din %1 profil"
"Incorrect CAPTCHA.","Forkert CAPTCHA."
"Data error. Please try again.","Datafejl. Prøv igen."
"Please make sure your passwords match.","Sørg for, at dine adgangskoder matcher."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du skal bekræfte din konto. Tjek venligst din email for bekræftelseslinket eller <a href=""%1"">klik her</a> for et nyt link."
"Create an account successfully. Please wait...","Opret en konto med succes. Vent venligst..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Der er allerede en konto med denne e-mail-adresse. Hvis du er sikker på, at det er din e-mail-adresse, <a href=""%1"">klik her</a> for at få adgangskoden og få adgang til din konto."
"We can't save the customer.","Vi kan ikke gemme kunden."
"Please correct the email address.","Ret venligst e-mail-adressen."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Hvis der er en konto tilknyttet %1 , vil du modtage en email med et link for at nulstille dit kodeord."
"We're unable to send the password reset email.","Vi kan ikke sende e-mail til nulstilling af adgangskode."
"Ooophs, we got an error: %1","Ooophs, vi fik en fejl: %1"
"Default","Standard"
"Orange","orange"
"Green","Grøn"
"Black","Sort"
"Blue","Blå"
"Dark Blue","Mørkeblå"
"Pink","Lyserød"
"Red","Rød"
"Violet","Violet"
"Custom","Brugerdefinerede"
"Zoom","Zoom"
"Newspaper","Avis"
"Horizontal move","Vandret bevægelse"
"Move from top","Flyt fra toppen"
"3D unfold","3D udfolder sig"
"Zoom-out","Zoome ud"
"-- Please Select --","-- Vælg venligst --"
"Customer Login Page","Kunde login side"
"Customer Create Page","Kunde Opret Side"
"Social Popup Login","Social popup-login"
"Login By %1","Log ind af %1"
"Sign in with %1","Log ind med %1"
"Sign In","Log ind"
"Registered Customers","Registrerede kunder"
"* Required Fields","* Krævede felter"
"Email","E-mail"
"Password","Adgangskode"
"Login","Log på"
"Forgot Your Password?","Glemt din adgangskode?"
"Create New Account?","Opret ny konto?"
"Or Sign In With","Eller Log ind med"
"Create New Account","Opret ny konto"
"Sign Up for Newsletter","Tilmeld dig nyhedsbrev"
"Address Information","Adresseoplysninger"
"Company","Selskab"
"Phone Number","Telefonnummer"
"Street Address","Vejnavn"
"Address","Adresse"
"Street Address %1","Gadeadresse %1"
"City","by"
"State/Province","Stat / provins"
"Please select a region, state or province.","Vælg venligst en region, stat eller provins."
"Zip/Postal Code","Postnummer"
"Country","Land"
"Confirm Password","Bekræft kodeord"
"Create an Account","Opret en konto"
"Back","Tilbage"
"Forgot Password","Glemt kodeord"
"Please enter your email address below to receive a password reset link.","Indtast venligst din emailadresse nedenfor for at få et link til adgangskodeåbning."
"Submit","Indsend"
"Go back","Gå tilbage"
"Social Login","Social login"
"General","Generel"
"Enable","Aktiver"
"Send Password To Customer","Send adgangskode til kunde"
"Show Social Login Buttons on","Vis sociale login knapper på"
"Use Popup Login","Brug popup-login"
"Popup Effect","Popup-effekt"
"Style Management","Style Management"
"Custom Color","Brugerdefineret farve"
"Custom CSS","Brugerdefineret CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Opret app <a href=""https://developers.facebook.com/apps"" target=""_bank"">her</a>"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Gyldige OAuth omdirigere URI'er"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Opret app <a href=""https://code.google.com/apis/console/"" target=""_bank"">her</a>"
"Client ID","Klient-id"
"Client Secret","Client Secret"
"REDIRECT URIS","REDIREKER URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Opret app <a href=""https://dev.twitter.com/apps"" target=""_bank"">her</a>"
"Consumer Key","Forbruger nøgle"
"Consumer Secret","Forbrugerhemmelighed"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Opret app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">her</a>"
"Id Client","Id-klient"
"Secret Client","Secret Client"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Opret app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">her</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Opret app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">her</a>"
"Callback Url","Tilbagekaldelse Url"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Opret app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">her</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Opret app <a href=""https://new.vk.com/dev"" target=""_bank"">her</a>"
"Application ID","Ansøgnings-id"
"Secure Key","Secure Key"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Opret app <a href=""https://github.com/settings/applications/new"" target=""_bank"">her</a>"
