"Registered Customers","Registered Customers"
"* Required Fields","* Required Fields"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Email,Email
Password,Password
"Forgot Your Password?","Forgot Your Password?"
Login,Login
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"Data error. Please try again.","Data error. Please try again."
"Please make sure your passwords match.","Please make sure your passwords match."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Create an account successfully. Please wait...","Create an account successfully. Please wait..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can't save the customer.","We can't save the customer."
"Please correct the email address.","Please correct the email address."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"New User","New User"
"Email is Null, Please enter email in your %1 profile","Email is Null, Please enter email in your %1 profile"
"Ooophs, we got an error: %1","Ooophs, we got an error: %1"
"Email already exists","Email already exists"
Success!,Success!
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Unknown Provider","Unknown Provider"
Default,Default
Orange,Orange
Green,Green
Grey,Grey
Black,Black
Blue,Blue
"Dark Blue","Dark Blue"
Pink,Pink
Red,Red
Violet,Violet
Custom,Custom
Zoom,Zoom
Newspaper,Newspaper
"Horizontal move","Horizontal move"
"Move from top","Move from top"
"3D unfold","3D unfold"
Zoom-out,Zoom-out
Name,Name
None,None
"Popup Login","Popup Login"
"-- Please Select --","-- Please Select --"
"Customer Login Page","Customer Login Page"
"Customer Create Page","Customer Create Page"
"Social Login Popup","Social Login Popup"
"Customer Authentication Popup","Customer Authentication Popup"
"Always Require","Always Require"
"If social account does not provide E-mail.","If social account does not provide E-mail."
"Your data in our website has been deleted","Your data in our website has been deleted"
"Login By %1","Login By %1"
"Sign in with %1","Sign in with %1"
"Sign In","Sign In"
"Create New Account?","Create New Account?"
"Or Sign In With","Or Sign In With"
"Create New Account","Create New Account"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Date of Birth","Date of Birth"
"Address Information","Address Information"
Company,Company
"Phone Number","Phone Number"
"Street Address","Street Address"
Address,Address
"Street Address %1","Street Address %1"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
Back,Back
"The information below is required for social login","The information below is required for social login"
