"New User","新しいユーザー"
"Email is Null, Please enter email in your %1 profile","EメールはNullです。あなたの %1 のプロフィールにEメールを入力してください"
"Incorrect CAPTCHA.","CAPTCHAが正しくありません。"
"Data error. Please try again.","データエラー。もう一度お試しください。"
"Please make sure your passwords match.","パスワードが一致していることを確認してください。"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","あなたのアカウントを確認する必要があります。確認リンク、または <a href=""%1"">ここをクリックして新しいリンクを</a> で確認してください。"
"Create an account successfully. Please wait...","アカウントを正常に作成します。お待ちください..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","このメールアドレスにはすでにアカウントがあります。それがあなたのメールアドレスであることが確かであれば、 <a href=""%1"">ここをクリック</a> あなたのパスワードを取得し、あなたのアカウントにアクセスしてください。"
"We can't save the customer.","私たちは顧客を救うことはできません。"
"Please correct the email address.","メールアドレスを修正してください。"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","%1 に関連付けられているアカウントがある場合、パスワードをリセットするためのリンクが記載されたメールが届きます。"
"We're unable to send the password reset email.","パスワードリセットのメールを送信できません。"
"Ooophs, we got an error: %1","Ooophs、エラーが発生しました： %1"
"Default","デフォルト"
"Orange","オレンジ"
"Green","緑"
"Black","ブラック"
"Blue","青"
"Dark Blue","濃紺"
"Pink","ピンク"
"Red","赤"
"Violet","バイオレット"
"Custom","カスタム"
"Zoom","ズーム"
"Newspaper","新聞"
"Horizontal move","水平移動"
"Move from top","上から移動する"
"3D unfold","3D展開"
"Zoom-out","ズームアウトする"
"-- Please Select --","-  選んでください  -"
"Customer Login Page","顧客ログインページ"
"Customer Create Page","顧客作成ページ"
"Social Popup Login","ソーシャルポップアップのログイン"
"Login By %1","ログイン %1"
"Sign in with %1","%1でログイン"
"Sign In","サインイン"
"Registered Customers","登録済みの客"
"* Required Fields","*必須フィールド"
"Email","Eメール"
"Password","パスワード"
"Login","ログイン"
"Forgot Your Password?","パスワードをお忘れですか？"
"Create New Account?","新しいアカウントを作成する？"
"Or Sign In With","またはサインイン"
"Create New Account","新しいアカウントを作成する"
"Sign Up for Newsletter","ニュースレターに登録する"
"Address Information","住所情報"
"Company","会社"
"Phone Number","電話番号"
"Street Address","住所"
"Address","住所"
"Street Address %1","住所 %1"
"City","シティ"
"State/Province","州/県"
"Please select a region, state or province.","地域、都道府県を選択してください。"
"Zip/Postal Code","郵便番号"
"Country","国"
"Confirm Password","パスワードを認証する"
"Create an Account","アカウントを作成する"
"Back","バック"
"Forgot Password","パスワードをお忘れですか"
"Please enter your email address below to receive a password reset link.","パスワードリセットリンクを受け取るには、下にメールアドレスを入力してください。"
"Submit","提出する"
"Go back","戻る"
"Social Login","社会的なログイン"
"General","一般"
"Enable","有効にする"
"Send Password To Customer","顧客にパスワードを送信する"
"Show Social Login Buttons on","ソーシャルログインボタンを表示する"
"Use Popup Login","ポップアップログインの使用"
"Popup Effect","ポップアップエフェクト"
"Style Management","スタイル管理"
"Custom Color","カスタムカラー"
"Custom CSS","カスタムCSS"
"Facebook","フェイスブック"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","ここでアプリ <a href=""https://developers.facebook.com/apps"" target=""_bank"">を作成する</a>"
"Facebook App Id","FacebookのアプリID"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","有効なOAuthリダイレクトURI"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","ここでアプリ <a href=""https://code.google.com/apis/console/"" target=""_bank"">を作成する</a>"
"Client ID","クライアントID"
"Client Secret","クライアントの秘密"
"REDIRECT URIS","リダイレクト・ウリス"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","ここでアプリ <a href=""https://dev.twitter.com/apps"" target=""_bank"">を作成する</a>"
"Consumer Key","コンシューマーキー"
"Consumer Secret","消費者の秘密"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","ここでアプリ <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">を作成する</a>"
"Id Client","IDクライアント"
"Secret Client","秘密のクライアント"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","ここでアプリ <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">を作成する</a>"
"Foursquare","フォースクエア"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","ここでアプリ <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">を作成する</a>"
"Callback Url","コールバックURL"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","ここでアプリ <a href=""https://new.vk.com/dev"" target=""_bank"">を作成する</a>"
"Application ID","アプリケーションID"
"Secure Key","セキュアキー"
"Github","ギター"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","ここでアプリ <a href=""https://github.com/settings/applications/new"" target=""_bank"">を作成する</a>"
