"New User","Nuovo utente"
"Email is Null, Please enter email in your %1 profile","L'email è Null, Inserisci l'email nel tuo %1 profilo"
"Incorrect CAPTCHA.","CAPTCHA errato."
"Data error. Please try again.","Errore dati. Si prega di riprovare."
"Please make sure your passwords match.","Per favore assicurati che le tue password corrispondano."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Devi confermare il tuo account. Controlla la tua casella di posta elettronica per il link di conferma oppure <a href=""%1""> clicka qui </a> per un nuovo link."
"Create an account successfully. Please wait...","Accounte creato con successo. Attendere prego..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Esiste già un account associato a questo indirizzo email. Se sei sicuro che questo è il tuo indirizzo email,<a href=""%1"">clicka qui </a> per reimpostare la tua password e riguadagnare l'accesso al tuo account."
"We can't save the customer.","Impossibile salvare questo cliente."
"Please correct the email address.","Si prega di correggere l'indirizzo email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se esiste un account associato con %1 riceverai una mail con il link per cambiare la tua password."
"We're unable to send the password reset email.","Non è possibile inviare l'email per la reimpostazione della password."
"Ooophs, we got an error: %1","Ooophs, è avvenuto un errore:%1"
"Default","Predefinito"
"Orange","Arancione"
"Green","Verde"
"Black","Nero"
"Blue","Blu"
"Dark Blue","Blu scuro"
"Pink","Rosa"
"Red","Rosso"
"Violet","Viola"
"Custom","Personalizza"
"Zoom","Ingrandisci"
"Newspaper","Giornale"
"Horizontal move","Spostamento orizzontale"
"Move from top","Sposta dall'alto"
"3D unfold","Lo sviluppo 3D"
"Zoom-out","Diminuisci zoom"
"-- Please Select --","Si prega di selezionare"
"Customer Login Page","Pagina accesso cliente"
"Customer Create Page","Crea pagina cliente"
"Social Popup Login","Accesso attraverso Social Popup"
"Login By %1","Accedi da %1"
"Sign in with %1","Registrati con %1"
"Sign In","Registrati"
"Registered Customers","Clienti registrati"
"* Required Fields","* Campi obbligatori"
"Email","Email"
"Password","Password"
"Login","Accedi"
"Forgot Your Password?","Password dimenticata?"
"Create New Account?","Creare un nuovo account?"
"Or Sign In With","Oppure accedi con"
"Create New Account","Creare un nuovo account"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Address Information","Informazioni sull'indirizzo"
"Company","Società"
"Phone Number","Numero di telefono"
"Street Address","Indirizzo"
"Address","Indirizzo"
"Street Address %1","Indirizzo stradale %1"
"City","Città"
"State/Province","Stato/Provincia"
"Please select a region, state or province.","Inserisci una regione, stato o provincia."
"Zip/Postal Code","Codice postale/Cap"
"Country","Paese"
"Confirm Password","Conferma password"
"Create an Account","Crea un account"
"Back","Indietro"
"Forgot Password","Password dimenticata"
"Please enter your email address below to receive a password reset link.","Inserisci il tuo indirizzo email nella casella sotto per ricevere un link per reimpostare la tua pasword."
"Submit","Invia"
"Go back","Torna indietro"
"Social Login","Entra con i social"
"General","Generale"
"Enable","Abilita"
"Send Password To Customer","Invia password al cliente"
"Show Social Login Buttons on","Mostra pulsanti di accesso Social"
"Use Popup Login","Usa accesso popup"
"Popup Effect","Effetto popup"
"Style Management","Gestione stile"
"Custom Color","Colore personalizzato"
"Custom CSS","CSS personalizzato"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Crea app <a href=""https://developers.facebook.com/apps"" target=""_bank"">qui</a>"
"Facebook App Id","Id App Facebook"
"Facebook App Secret","App Secret Facebook"
"Valid OAuth redirect URIs","OAuth valido reindirizzare gli URL"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Crea app <a href=""https://code.google.com/apis/console/"" target=""_bank"">qui</a>"
"Client ID","Id cliente"
"Client Secret","Secret Cliente"
"REDIRECT URIS","Reindirizzare gli URL"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Crea app<a href=""https://dev.twitter.com/apps"" target=""_bank"">qui</a>"
"Consumer Key","Chiave del consumatore"
"Consumer Secret","Secret del consumatore"
"LinkedIn","Linkedln"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Crea app<a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">qui</a>"
"Id Client","Id Cliente"
"Secret Client","Secret Cliente"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Crea app<a href=""https://developer.yahoo.com/apps/"" target=""_bank"">qui</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Crea app<a href=""https://www.foursquare.com/oauth/"" target=""_bank"">qui</a>"
"Callback Url","Url di richiamo"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Crea app<a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">qui</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Crea app <a href=""https://new.vk.com/dev"" target=""_bank"">qui</a>"
"Application ID","Id richiesta"
"Secure Key","Chiave di sicurezza"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Crea app <a href=""https://github.com/settings/applications/new"" target=""_bank"">qui</a>"
