"New User","Nový uživatel"
"Email is Null, Please enter email in your %1 profile","E-mail je nulový, zadejte prosím e-mail do profilu %1"
"Incorrect CAPTCHA.","Nesprávná CAPTCHA."
"Data error. Please try again.","Chyba dat. Prosím zkuste to znovu."
"Please make sure your passwords match.","Ujistěte se, že vaše hesla odpovídají."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Musíte potvrdit svůj účet. Zkontrolujte prosím svůj e-mail pro potvrzovací odkaz nebo <a href=""%1"">klepnutím sem</a> pro nový odkaz."
"Create an account successfully. Please wait...","Úspěšně vytvořte účet. Prosím, čekejte..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Na této e-mailové adrese již existuje účet. Pokud jste si jisti, že se jedná o vaši e-mailovou adresu, <a href=""%1"">klikněte zde</a> , abyste získali heslo a získali přístup k vašemu účtu."
"We can't save the customer.","Nemůžeme zákazníka uložit."
"Please correct the email address.","Opravte prosím e-mailovou adresu."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Pokud je k účtu %1 přidružen účet, obdržíte e-mail s odkazem na obnovení hesla."
"We're unable to send the password reset email.","Nelze odeslat e-mail s obnovením hesla."
"Ooophs, we got an error: %1","Ooophs, dostali jsme chybu: %1"
"Default","Výchozí nastavení"
"Orange","oranžový"
"Green","Zelená"
"Black","Černá"
"Blue","Modrý"
"Dark Blue","Tmavě modrá"
"Pink","Růžový"
"Red","Červené"
"Violet","fialový"
"Custom","Zvyk"
"Zoom","Zvětšení"
"Newspaper","Noviny"
"Horizontal move","Horizontální pohyb"
"Move from top","Přesuňte se z vrcholu"
"3D unfold","3D rozvinout"
"Zoom-out","Oddálit"
"-- Please Select --","-- Prosím vyberte --"
"Customer Login Page","Stránka pro přihlášení zákazníka"
"Customer Create Page","Zákazník Vytvořit stránku"
"Social Popup Login","Social Popup Login"
"Login By %1","Přihlásit se podle %1"
"Sign in with %1","Přihlaste se %1"
"Sign In","Přihlásit se"
"Registered Customers","Registrovaní zákazníci"
"* Required Fields","* Povinné pole"
"Email","E-mailem"
"Password","Heslo"
"Login","Přihlásit se"
"Forgot Your Password?","Zapomněli jste heslo?"
"Create New Account?","Vytvořit nový účet?"
"Or Sign In With","Nebo se přihlaste"
"Create New Account","Vytvořit nový účet"
"Sign Up for Newsletter","Přihlašte se k odběru novinek"
"Address Information","Informace o adrese"
"Company","Společnost"
"Phone Number","Telefonní číslo"
"Street Address","Adresa ulice"
"Address","Adresa"
"Street Address %1","Ulice %1"
"City","Město"
"State/Province","Stát / provincie"
"Please select a region, state or province.","Vyberte region, stát nebo provincii."
"Zip/Postal Code","PSČ a PSČ"
"Country","Země"
"Confirm Password","Potvrďte heslo"
