"New User","Ny användare"
"Email is Null, Please enter email in your %1 profile","E-postadress är Null, Vänligen skriv in e-post i din %1 -profil"
"Incorrect CAPTCHA.","Felaktig CAPTCHA."
"Data error. Please try again.","Datorfel. Var god försök igen."
"Please make sure your passwords match.","Se till att dina lösenord matchar."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du måste bekräfta ditt konto. Vänligen kolla din email för bekräftelseskoblingen eller <a href=""%1"">klicka här</a> för en ny länk."
"Create an account successfully. Please wait...","Skapa ett konto med framgång. Vänta..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Det finns redan ett konto med den här e-postadressen. Om du är säker på att det är din e-postadress, <a href=""%1"">klicka här</a> för att få ditt lösenord och få åtkomst till ditt konto."
"We can't save the customer.","Vi kan inte rädda kunden."
"Please correct the email address.","Vänligen korrigera e-postadressen."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Om det finns ett konto i samband med %1 får du ett mail med en länk för att återställa ditt lösenord."
"We're unable to send the password reset email.","Vi kan inte skicka e-postadressen för återställning av lösenord."
"Ooophs, we got an error: %1","Oooh, vi fick ett fel: %1"
"Default","Standard"
"Orange","Orange"
"Green","Grön"
"Black","Svart"
"Blue","Blå"
"Dark Blue","Mörkblå"
"Pink","Rosa"
"Red","Röd"
"Violet","Violett"
"Custom","Beställnings"
"Zoom","Zoom"
"Newspaper","Tidning"
"Horizontal move","Horisontell dragning"
"Move from top","Flytta från toppen"
"3D unfold","3D utvecklas"
"Zoom-out","Zooma ut"
"-- Please Select --","-- Vänligen välj --"
"Customer Login Page","Kundinloggningssida"
"Customer Create Page","Kund Skapa sida"
"Social Popup Login","Social popup-inloggning"
"Login By %1","Logga in av %1"
"Sign in with %1","Logga in med %1"
"Sign In","Logga in"
"Registered Customers","Registrerade kunder"
"* Required Fields","* Obligatoriska fält"
"Email","E-post"
"Password","Lösenord"
"Login","Logga in"
"Forgot Your Password?","Glömt ditt lösenord?"
"Create New Account?","Skapa nytt konto?"
"Or Sign In With","Eller logga in med"
"Create New Account","Skapa nytt konto"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"Address Information","Adressinformation"
"Company","Företag"
"Phone Number","Telefonnummer"
"Street Address","Gatuadress"
"Address","Adress"
"Street Address %1","Gatuadress %1"
"City","Stad"
"State/Province","Stat / provins"
"Please select a region, state or province.","Vänligen välj en region, stat eller provins."
"Zip/Postal Code","Postnummer / Postnummer"
"Country","Land"
"Confirm Password","Bekräfta lösenord"
"Create an Account","Skapa ett konto"
"Back","Tillbaka"
"Forgot Password","Glömt ditt lösenord"
"Please enter your email address below to receive a password reset link.","Vänligen ange din e-postadress nedan för att få en länk för lösenordsåterställning."
"Submit","Lämna"
"Go back","Gå tillbaka"
"Social Login","Social inloggning"
"General","Allmän"
"Enable","Gör det möjligt"
"Send Password To Customer","Skicka lösenord till kund"
"Show Social Login Buttons on","Visa sociala inloggningsknappar på"
"Use Popup Login","Använd popup-inloggning"
"Popup Effect","Popup-effekt"
"Style Management","Style Management"
"Custom Color","Anpassad färg"
"Custom CSS","Anpassad CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Skapa app <a href=""https://developers.facebook.com/apps"" target=""_bank"">här</a>"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Giltiga OAuth-omdirigera URI-filer"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Skapa app <a href=""https://code.google.com/apis/console/"" target=""_bank"">här</a>"
"Client ID","Klient ID"
"Client Secret","Kundhemlighet"
"REDIRECT URIS","REDIREKT URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Skapa app <a href=""https://dev.twitter.com/apps"" target=""_bank"">här</a>"
"Consumer Key","Konsumentnyckel"
"Consumer Secret","Konsumenthemlighet"
"LinkedIn","Linkedin"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Skapa app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">här</a>"
"Id Client","Id-klient"
"Secret Client","Hemlig klient"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Skapa app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">här</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Skapa app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">här</a>"
"Callback Url","Återuppringning Url"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Skapa app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">här</a>"
"Vkontakte","VKontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Skapa app <a href=""https://new.vk.com/dev"" target=""_bank"">här</a>"
"Application ID","ansöknings-ID"
"Secure Key","Säker nyckel"
"Github","github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Skapa app <a href=""https://github.com/settings/applications/new"" target=""_bank"">här</a>"
