"New User","Nouvel utilisateur"
"Email is Null, Please enter email in your %1 profile","Email est nul, S'il vous plaît entrez votre email dans votre profil %1"
"Incorrect CAPTCHA.","Captcha incorrecte."
"Data error. Please try again.","Erreur de donnée. Veuillez réessayer."
"Please make sure your passwords match.","Merci de vérifier que vos mots de passe correspondent."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Vous devez confirmer votre compte. S'il vous plaît vérifier votre e-mail pour le lien de confirmation ou <a href=""%1"">cliquez ici</a> pour un nouveau lien."
"Create an account successfully. Please wait...","Créez un compte avec succès. S'il vous plaît, attendez..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Il y a déjà un compte avec cette adresse email. Si vous êtes sûr que c'est votre adresse email, <a href=""%1"">cliquez ici</a> pour obtenir votre mot de passe et accéder à votre compte."
"We can't save the customer.","Nous ne pouvons pas sauver le client."
"Please correct the email address.","S'il vous plaît corriger l'adresse e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","S'il y a un compte associé à %1 , vous recevrez un email avec un lien pour réinitialiser votre mot de passe."
"We're unable to send the password reset email.","Nous ne pouvons pas envoyer l'e-mail de réinitialisation du mot de passe."
"Ooophs, we got an error: %1","Ooophs, nous avons eu une erreur: %1"
"Default","Défaut"
"Orange","Orange"
"Green","vert"
"Black","Noir"
"Blue","Bleu"
"Dark Blue","Bleu foncé"
"Pink","Rose"
"Red","rouge"
"Violet","Violet"
"Custom","Douane"
"Zoom","Zoom"
"Newspaper","Journal"
"Horizontal move","Mouvement horizontal"
"Move from top","Déplacer du haut"
"3D unfold","Déplier 3D"
"Zoom-out","Dézoomer"
"-- Please Select --","- Veuillez sélectionner -"
"Customer Login Page","Page de connexion du client"
"Customer Create Page","Page de création de client"
"Social Popup Login","Social Popup Connexion"
"Login By %1","Connexion par %1"
"Sign in with %1","Se connecter avec %1"
"Sign In","Se connecter"
"Registered Customers","Clients enregistrés"
"* Required Fields","* Champs obligatoires"
"Email","Email"
"Password","Mot de passe"
"Login","S'identifier"
"Forgot Your Password?","Mot de passe oublié?"
"Create New Account?","Créer un nouveau compte?"
"Or Sign In With","Ou connectez-vous avec"
"Create New Account","Créer un nouveau compte"
"Sign Up for Newsletter","S'inscrire aux Newsletters"
"Address Information","Information d'adresse"
"Company","Compagnie"
"Phone Number","Numéro de téléphone"
"Street Address","Adresse de rue"
"Address","Adresse"
"Street Address %1","Adresse civique %1"
"City","Ville"
"State/Province","Etat / Province"
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"Zip/Postal Code","Zip / code postal"
"Country","Pays"
"Confirm Password","Confirmez le mot de passe"
"Create an Account","Créer un compte"
"Back","Arrière"
"Forgot Password","Mot de passe oublié"
"Please enter your email address below to receive a password reset link.","Veuillez entrer votre adresse courriel ci-dessous pour recevoir un lien de réinitialisation du mot de passe."
"Submit","Soumettre"
"Go back","Retourner"
"Social Login","Connexion sociale"
"General","Général"
"Enable","Activer"
"Send Password To Customer","Envoyer le mot de passe au client"
"Show Social Login Buttons on","Afficher les boutons de connexion sociale sur"
"Use Popup Login","Utiliser la connexion au menu contextuel"
"Popup Effect","Effet pop-up"
"Style Management","Gestion de style"
"Custom Color","Couleur personnalisée"
"Custom CSS","CSS personnalisé"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Créer l'application <a href=""https://developers.facebook.com/apps"" target=""_bank"">ici</a>"
"Facebook App Id","Identifiant de l'application Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","URI de redirection OAuth valides"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Créer l'application <a href=""https://code.google.com/apis/console/"" target=""_bank"">ici</a>"
"Client ID","identité du client"
"Client Secret","Secret client"
"REDIRECT URIS","URIRE REDIRECT"
"Twitter","Gazouillement"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Créer l'application <a href=""https://dev.twitter.com/apps"" target=""_bank"">ici</a>"
"Consumer Key","La clé du consommateur"
"Consumer Secret","Secret du consommateur"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Créer l'application <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">ici</a>"
"Id Client","Id Client"
"Secret Client","Client secret"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Créer l'application <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">ici</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Créer l'application <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">ici</a>"
"Callback Url","URL de rappel"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Créer l'application <a href=""https://new.vk.com/dev"" target=""_bank"">ici</a>"
"Application ID","ID d'application"
"Secure Key","Clé sécurisée"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Créer l'application <a href=""https://github.com/settings/applications/new"" target=""_bank"">ici</a>"
