"New User","Yeni Kullanıcı"
"Email is Null, Please enter email in your %1 profile","E-posta Boş, Lütfen %1 profiliniz içerisinde e-posta girin"
"Incorrect CAPTCHA.","Yanlış GÜVENLİK KODU."
"Data error. Please try again.","Veri Hatası. Lütfen tekrar deneyin."
"Please make sure your passwords match.","Lütfen parolalarınızın eşleştiğinden emin olun."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Hesabınızı onaylamalısınız. Onay bağlantısı için lütfen e-postanızı kontrol edin veya yeni bir bağlantı için <a href=""%1"">buraya tıklayın</a>."
"Create an account successfully. Please wait...","Hesap başarıyla oluşturuldu. Lütfen bekleyin..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Zaten bu e-posta adresine sahip bir hesap var. Eğer bunun sizin e-posta adresiniz olduğundan eminseniz, parola almak ve hesabınıza erişmek için <a href=""%1"">buraya tıklayın</a>."
"We can't save the customer.","Müşteriyi kaydedemiyoruz."
"Please correct the email address.","Lütfen e-posta adresinizi doğrulayın."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Eğer %1 ile ilişkili bir hesap varsa parolanızı sıfırlamak için içinde bir bağlantı olan bir e-posta alacaksınız."
"We're unable to send the password reset email.","Parola sıfırlama e-postası gönderemiyoruz."
"Ooophs, we got an error: %1","Ooophs, bir hata aldık: %1"
"Default","Varsayılan"
"Orange","Turuncu"
"Green","Yeşil"
"Black","Siyah"
"Blue","Mavi"
"Dark Blue","Koyu Mavi"
"Pink","Pembe"
"Red","Kırmızı"
"Violet","Mor"
"Custom","Özel"
"Zoom","Yakınlaştır"
"Newspaper","Gazete"
"Horizontal move","Yatay taşı"
"Move from top","Üste taşı"
"3D unfold","3D düzleştir"
"Zoom-out","Uzaklaştır"
"-- Please Select --","-- Lütfen Seçiniz --"
"Customer Login Page","Müşteri Giriş Sayfası"
"Customer Create Page","Müşteri Oluşturma Sayfası"
"Social Popup Login","Sosyal Popup Girişi"
"Login By %1","%1 olarak oturum aç"
"Sign in with %1","%1 ile giriş yap"
"Sign In","Giriş yap"
"Registered Customers","Kayıtlı Müşteriler"
"* Required Fields","* Gerekli Alanlar"
"Email","E-posta"
"Password","Parola"
"Login","Oturum aç"
"Forgot Your Password?","Parolanızı mı unuttunuz?"
"Create New Account?","Yeni Hesap Oluştur?"
"Or Sign In With","Veya ile Giriş Yap"
"Create New Account","Yeni Hesap Oluştur"
"Sign Up for Newsletter","Bülten için Kaydolun"
"Address Information","Adres Bilgisi"
"Company","Firma"
"Phone Number","Telefon Numarası"
"Street Address","Sokak Adresi"
"Address","Adres"
"Street Address %1","Sokak Adresi %1"
"City","Şehir"
"State/Province","Bölge/İl"
"Please select a region, state or province.","Lütfen bir bölge, eyalet veya il seçin."
"Zip/Postal Code","Posta Kodu"
"Country","Ülke"
"Confirm Password","Parolayı Doğrulayın"
"Create an Account","Bir Hesap oluşturun"
"Back","Geri"
"Forgot Password","Şifremi unuttum"
"Please enter your email address below to receive a password reset link.","Bir parola sıfırlama bağlantısı almak için lütfen e-posta adresinizi aşağıya girin."
"Submit","Gönder"
"Go back","Geri git"
"Social Login","Sosyal Giriş"
"General","Genel"
"Enable","Etkinleştir"
"Send Password To Customer","Müşteriye Parola Gönder"
"Show Social Login Buttons on","Sosyal Giriş Butonlarını Göster"
"Use Popup Login","Popup Girişini Kullan"
"Popup Effect","Popup Efekti"
"Style Management","Stil Yönetimi"
"Custom Color","Özel Renk"
"Custom CSS","Özel CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","<a href=""https://developers.facebook.com/apps"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Facebook App Id","Facebook Uygulama Kimliği"
"Facebook App Secret","Facebook Uygulama Parolası"
"Valid OAuth redirect URIs","Geçerli OAuth yönlendirme URI'leri"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","<a href=""https://code.google.com/apis/console/"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Client ID","Müşteri Kimliği"
"Client Secret","Müşteri Parolası"
"REDIRECT URIS","URI'LERİ YÖNLENDİR"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","<a href=""https://dev.twitter.com/apps"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Consumer Key","Kullanıcı Anahtarı"
"Consumer Secret","Kullanıcı Parolası"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","<a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Id Client","Kimlik istemcisi"
"Secret Client","Gizli müşteri"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","<a href=""https://developer.yahoo.com/apps/"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Foursquare","FourSquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","<a href=""https://www.foursquare.com/oauth/"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Callback Url","Geri arama Url'si"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","<a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","<a href=""https://new.vk.com/dev"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Application ID","Uygulama Kimliği"
"Secure Key","Güvenli Anahtar"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","<a href=""https://github.com/settings/applications/new"" target=""_bank"">Buradan</a> uygulama oluşturun"
