"New User","משתמש חדש"
"Email is Null, Please enter email in your %1 profile","כתובת דוא""ל היא null, אנא הכנס את כתובת הדואר האלקטרוני שלך %1 פרופיל"
"Incorrect CAPTCHA.","CAPTCHA שגוי."
"Data error. Please try again.","שגיאת מידע. בבקשה נסה שוב."
"Please make sure your passwords match.","ודא שהסיסמאות שלך תואמות."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","עליך לאשר את חשבונך. אנא בדוק את הדוא""ל שלך עבור הקישור אישור או <a href=""%1"">לחץ כאן</a> עבור קישור חדש."
"Create an account successfully. Please wait...","צור חשבון בהצלחה. המתן בבקשה..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can't save the customer.","אנחנו לא יכולים להציל את הלקוח."
"Please correct the email address.","תקן את כתובת האימייל."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","אם יש חשבון המשויך ל- %1 , תקבל הודעת דוא""ל עם קישור לאיפוס הסיסמה."
"We're unable to send the password reset email.","אין באפשרותנו לשלוח את הדוא""ל לאיפוס הסיסמה."
"Ooophs, we got an error: %1","Ooophs, יש לנו שגיאה: %1"
"Default","בְּרִירַת מֶחדָל"
"Orange","תפוז"
"Green","ירוק"
"Black","שָׁחוֹר"
"Blue","כָּחוֹל"
"Dark Blue","כחול כהה"
"Pink","וָרוֹד"
"Red","אָדוֹם"
"Violet","סָגוֹל"
"Custom","המותאם אישית"
"Zoom","זום"
"Newspaper","עיתון"
"Horizontal move","מהלך אופקי"
"Move from top","מעבר מלמעלה"
"3D unfold","3D להתפתח"
"Zoom-out","להקטין את התצוגה"
"-- Please Select --","-- בבקשה תבחר --"
"Customer Login Page","דף הכניסה של הלקוח"
"Customer Create Page","לקוח צור דף"
"Social Popup Login","התחברות לחלונות קופצים"
"Login By %1","התחברות עד %1"
"Sign in with %1","היכנס באמצעות %1"
"Sign In","היכנס"
"Registered Customers","לקוחות רשומים"
"* Required Fields","* שדות חובה"
"Email","אֶלֶקטרוֹנִי"
"Password","סיסמה"
"Login","התחברות"
"Forgot Your Password?","שכחת ססמה?"
"Create New Account?","ליצור חשבון חדש?"
"Or Sign In With","או להיכנס עם"
"Create New Account","ליצור חשבון חדש"
"Sign Up for Newsletter","הירשם לניוזלטר"
"Address Information","כתובת מידע"
"Company","חֶברָה"
"Phone Number","מספר טלפון"
"Street Address","כתובת רחוב"
"Address","כתובת"
"Street Address %1","כתובת רחוב %1"
"City","עִיר"
"State/Province","מדינה / מחוז"
"Please select a region, state or province.","בחר אזור, מדינה או מחוז."
"Zip/Postal Code","מיקוד / מיקוד"
"Country","מדינה"
"Confirm Password","אשר סיסמה"
"Create an Account","צור חשבון"
"Back","חזור"
"Forgot Password","שכחת את הסיסמא"
"Please enter your email address below to receive a password reset link.","הזן את כתובת האימייל שלך למטה כדי לקבל קישור לאיפוס סיסמה."
"Submit","שלח"
"Go back","תחזור"
"Social Login","התחברות חברתית"
"General","כללי"
"Enable","לְאַפשֵׁר"
"Send Password To Customer","שלח סיסמה ללקוח"
"Show Social Login Buttons on","הצג לחצני כניסה חברתיים ב"
"Use Popup Login","השתמש ב- Popup Login"
"Popup Effect","אפקט קופץ"
"Style Management","ניהול סגנון"
"Custom Color","צבע מותאם אישית"
"Custom CSS","CSS מותאם אישית"
"Facebook","פייסבוק"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://developers.facebook.com/apps"" target=""_bank"">כאן</a>"
"Facebook App Id","זיהוי אפליקציית פייסבוק"
"Facebook App Secret","סוד פייסבוק"
"Valid OAuth redirect URIs","OAuth תקף מפנה כתובות URI"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://code.google.com/apis/console/"" target=""_bank"">כאן</a>"
"Client ID","מזהה לקוח"
"Client Secret","סוד הלקוח"
"REDIRECT URIS","הפוכה"
"Twitter","טוויטר"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://dev.twitter.com/apps"" target=""_bank"">כאן</a>"
"Consumer Key","מפתח הצרכן"
"Consumer Secret","סוד הצרכן"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">כאן</a>"
"Id Client","לקוח מזהה"
"Secret Client","לקוח סודי"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">כאן</a>"
"Foursquare","4"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">כאן</a>"
"Callback Url","כתובת אתר של Callback"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://new.vk.com/dev"" target=""_bank"">כאן</a>"
"Application ID","מזהה יישום"
"Secure Key","מפתח מאובטח"
"Github","גית'וב"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://github.com/settings/applications/new"" target=""_bank"">כאן</a>"
