"New User","Novo usuário"
"Email is Null, Please enter email in your %1 profile","O email é nulo, insira o email em seu perfil %1"
"Incorrect CAPTCHA.","Captcha incorreto."
"Data error. Please try again.","Erro de data. Por favor, tente novamente."
"Please make sure your passwords match.","Certifique-se de que as suas senhas coincidem."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Você deve confirmar sua conta. Verifique seu e-mail para o link de confirmação ou <a href=""%1"">clique aqui</a> para um novo link."
"Create an account successfully. Please wait...","Crie uma conta com sucesso. Por favor, espere..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de e-mail. Se você tiver certeza de que é seu endereço de e-mail, <a href=""%1"">clique aqui</a> para obter sua senha e acessar sua conta."
"We can't save the customer.","Não podemos salvar o cliente."
"Please correct the email address.","Corrija o endereço de e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se houver uma conta associada ao %1 , você receberá um e-mail com um link para redefinir sua senha."
"We're unable to send the password reset email.","Não podemos enviar o email de redefinição de senha."
"Ooophs, we got an error: %1","Ooofs, temos um erro: %1"
"Default","Padrão"
"Orange","laranja"
"Green","Verde"
"Black","Preto"
"Blue","Azul"
"Dark Blue","Azul escuro"
"Pink","Rosa"
"Red","Vermelho"
"Violet","Tolet"
"Custom","personalizadas"
"Zoom","Zoom"
"Newspaper","Jornal"
"Horizontal move","Movimento horizontal"
"Move from top","Mude do topo"
"3D unfold","Desdobramento 3D"
"Zoom-out","Reduzir o zoom"
"-- Please Select --","-- Por favor selecione --"
"Customer Login Page","Página de Login do Cliente"
"Customer Create Page","Cliente Criar Página"
"Social Popup Login","Login Popup Social"
"Login By %1","Entrar por %1"
"Sign in with %1","Faça login com %1"
"Sign In","Assinar em"
"Registered Customers","Clientes Registrados"
"* Required Fields","* Os campos obrigatórios"
"Email","O email"
"Password","Senha"
"Login","Entrar"
"Forgot Your Password?","Esqueceu sua senha?"
"Create New Account?","Criar nova conta?"
"Or Sign In With","Ou faça o login com"
"Create New Account","Criar nova conta"
"Sign Up for Newsletter","Registe-se para Newsletter"
"Address Information","Informação de Endereço"
"Company","Empresa"
"Phone Number","Número de telefone"
"Street Address","Endereço"
"Address","Endereço"
"Street Address %1","Endereço %1"
"City","Cidade"
"State/Province","Estado / Província"
"Please select a region, state or province.","Selecione uma região, estado ou província."
"Zip/Postal Code","CEP / Código Postal"
"Country","País"
"Confirm Password","Confirme a Senha"
"Create an Account","Crie a sua conta aqui"
"Back","Costas"
"Forgot Password","Esqueceu a senha"
"Please enter your email address below to receive a password reset link.","Digite seu endereço de e-mail abaixo para receber um link de redefinição de senha."
"Submit","Enviar"
"Go back","Volte"
"Social Login","Login Social"
"General","Geral"
"Enable","Habilitar"
"Send Password To Customer","Enviar Senha ao Cliente"
"Show Social Login Buttons on","Mostrar botões de login social em"
"Use Popup Login","Use o Login Popup"
"Popup Effect","Efeito pop-up"
"Style Management","Gerenciamento de estilo"
"Custom Color","Cor customizada"
"Custom CSS","CSS customizado"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://developers.facebook.com/apps"" target=""_bank"">aqui</a>"
"Facebook App Id","Id do aplicativo do Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","URIs de redirecionamento de OAuth válidas"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://code.google.com/apis/console/"" target=""_bank"">aqui</a>"
"Client ID","ID do Cliente"
"Client Secret","Segredo do cliente"
"REDIRECT URIS","REDIRECE URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://dev.twitter.com/apps"" target=""_bank"">aqui</a>"
"Consumer Key","Chave do consumidor"
"Consumer Secret","consumidor secreto"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aqui</a>"
"Id Client","Id Client"
"Secret Client","Cliente secreto"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aqui</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aqui</a>"
"Callback Url","Url de retorno de chamada"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Criar aplicativo <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">aqui</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://new.vk.com/dev"" target=""_bank"">aqui</a>"
"Application ID","ID do aplicativo"
"Secure Key","Chave segura"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://github.com/settings/applications/new"" target=""_bank"">aqui</a>"
