"New User","مستعمل جديد"
"Email is Null, Please enter email in your %1 profile","البريد الإلكتروني هو Null ، يرجى إدخال البريد الإلكتروني في ملفك الشخصي %1"
"Incorrect CAPTCHA.","كلمة التحقق غير صحيحة."
"Data error. Please try again.","خطأ في النظام. الرجاء المحاولة مرة أخرى."
"Please make sure your passwords match.","يرجى التأكد من تطابق كلمات السر الخاصة بك."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","يجب تأكيد حسابك. يرجى التحقق من بريدك الإلكتروني للحصول على رابط التأكيد أو <a href=""%1""> انقر هنا </a> للحصول على رابط جديد."
"Create an account successfully. Please wait...","إنشاء حساب بنجاح. أرجو الإنتظار..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","هناك بالفعل حساب مع عنوان البريد الإلكتروني هذا. إذا كنت متأكدا من أنه عنوان بريدك الإلكتروني، <a href=""%1""> فانقر هنا </a> للحصول على كلمة المرور والدخول إلى حسابك."
"We can't save the customer.","لا نستطيع حماية الزبون."
"Please correct the email address.","يرجى تصحيح عنوان البريد الإلكتروني."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","إذا كان هناك حساب مرتبط بـ %1 ، فستتلقى رسالة بريد إلكتروني تحتوي على رابط لإعادة تعيين كلمة المرور الخاصة بك."
"We're unable to send the password reset email.","لا يمكننا إرسال البريد الإلكتروني الخاص بإعادة تعيين كلمة المرور."
"Ooophs, we got an error: %1","Ooophs ، حصلنا على خطأ: %1"
"Default","افتراضي"
"Orange","البرتقالي"
"Green","أخضر"
"Black","أسود"
"Blue","أزرق"
"Dark Blue","أزرق غامق"
"Pink","زهري"
"Red","أحمر"
"Violet","البنفسجي"
"Custom","العادة"
"Zoom","تكبير"
"Newspaper","جريدة"
"Horizontal move","التحرك الأفقي"
"Move from top","الانتقال من الأعلى"
"3D unfold","3D تتكشف"
"Zoom-out","تصغير"
"-- Please Select --","- من فضلك اختر -"
"Customer Login Page","صفحة تسجيل دخول العملاء"
"Customer Create Page","صفحة تكوين العملاء"
"Social Popup Login","المنبثقة الاجتماعية تسجيل الدخول"
"Login By %1","تسجيل الدخول بواسطة %1"
"Sign in with %1","تسجيل الدخول مع %1"
"Sign In","تسجيل الدخول"
"Registered Customers","العملاء المسجلين"
"* Required Fields","* الحقول المطلوبة"
"Email","البريد الإلكتروني"
"Password","كلمه السر"
"Login","تسجيل الدخول"
"Forgot Your Password?","نسيت رقمك السري؟"
"Create New Account?","انشاء حساب جديد؟"
"Or Sign In With","أو تسجيل الدخول مع"
"Create New Account","انشاء حساب جديد"
"Sign Up for Newsletter","الاشتراك في النشرة الإخبارية"
"Address Information","معلومات العنوان"
"Company","شركة"
"Phone Number","رقم الهاتف"
"Street Address","عنوان الشارع"
"Address","عنوان"
"Street Address %1","عنوان الشارع %1"
"City","مدينة"
"State/Province","الدولة / مقاطعة"
"Please select a region, state or province.","يرجى تحديد المنطقة أو الولاية أو المقاطعة."
"Zip/Postal Code","الرمز البريدي / الرمز البريدي"
"Country","بلد"
"Confirm Password","تأكيد كلمة المرور"
"Create an Account","انشئ حساب"
"Back","الى الخلف"
"Forgot Password","هل نسيت كلمة المرور"
"Please enter your email address below to receive a password reset link.","يرجى إدخال عنوان بريدك الإلكتروني أدناه لتلقي رابط إعادة تعيين كلمة المرور."
"Submit","خضع"
"Go back","عُد"
"Social Login","تسجيل الدخول الاجتماعي"
"General","جنرال لواء"
"Enable","مكن"
"Send Password To Customer","إرسال كلمة المرور للعميل"
"Show Social Login Buttons on","إظهار أزرار تسجيل الدخول الاجتماعية على"
"Use Popup Login","استخدم تسجيل الدخول المنبثق"
"Popup Effect","تأثير المنبثقة"
"Style Management","إدارة النمط"
"Custom Color","لون مخصص"
"Custom CSS","لغة تنسيق ويب حسب الطلب"
"Facebook","فيس بوك"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://developers.facebook.com/apps"" target=""_bank"">هنا</a>"
"Facebook App Id","معرف تطبيق Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","صالح OAuth إعادة توجيه معرفات URI"
"Google","جوجل"
