"New User","Ny bruker"
"Email is Null, Please enter email in your %1 profile","E-post er null, vennligst skriv inn e-post i %1 -profilen din"
"Incorrect CAPTCHA.","Feil CAPTCHA."
"Data error. Please try again.","Datafeil. Vær så snill, prøv på nytt."
"Please make sure your passwords match.","Pass på at passordene dine stemmer overens."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du må bekrefte kontoen din. Vennligst sjekk din epost for bekreftelseslenken eller <a href=""%1"">klikk her</a> for en ny lenke."
"Create an account successfully. Please wait...","Opprett en konto med hell. Vennligst vent..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Det er allerede en konto med denne e-postadressen. Hvis du er sikker på at det er din e-postadresse, <a href=""%1"">klikk her</a> for å få passordet ditt og få tilgang til kontoen din."
"We can't save the customer.","Vi kan ikke lagre kunden."
"Please correct the email address.","Vennligst rett inn e-postadressen."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Hvis det er en konto tilknyttet %1 , vil du motta en e-post med en link for å tilbakestille passordet ditt."
"We're unable to send the password reset email.","Vi kan ikke sende e-posten for tilbakestilling av passord."
"Ooophs, we got an error: %1","Ooophs, vi fikk en feil: %1"
"Default","Misligholde"
"Orange","oransje"
"Green","Grønn"
"Black","Svart"
"Blue","Blå"
"Dark Blue","Mørke blå"
"Pink","Rosa"
"Red","rød"
"Violet","Violet"
"Custom","Tilpasset"
"Zoom","Zoom"
"Newspaper","Avis"
"Horizontal move","Horisontal trekk"
"Move from top","Flytt fra toppen"
"3D unfold","3D utfolde seg"
"Zoom-out","Zoome ut"
"-- Please Select --","-- Vennligst velg --"
"Customer Login Page","Kundeinnloggingsside"
"Customer Create Page","Kundeopprett side"
"Social Popup Login","Sosial popup-pålogging"
"Login By %1","Logg inn av %1"
"Sign in with %1","Logg inn med %1"
"Sign In","Logg inn"
"Registered Customers","Registrerte kunder"
"* Required Fields","* Obligatoriske felt"
"Email","e-post"
"Password","Passord"
"Login","Logg Inn"
"Forgot Your Password?","Glemt passordet?"
"Create New Account?","Opprette ny konto?"
"Or Sign In With","Eller logg inn med"
"Create New Account","Opprette ny konto"
"Sign Up for Newsletter","Registrer deg for å få nyhetsbrev"
"Address Information","Adresseinformasjon"
"Company","Selskap"
"Phone Number","Telefonnummer"
"Street Address","Gateadresse"
"Address","Adresse"
"Street Address %1","Gateadresse %1"
"City","By"
"State/Province","Stat / Provins"
"Please select a region, state or province.","Vennligst velg en region, delstat eller provins."
"Zip/Postal Code","Postnummer"
"Country","Land"
"Confirm Password","bekreft passord"
"Create an Account","Opprett en konto"
"Back","Tilbake"
"Forgot Password","Glemt passord"
"Please enter your email address below to receive a password reset link.","Vennligst skriv inn e-postadressen din nedenfor for å motta en tilbakestillingskode for passord."
"Submit","Sende inn"
"Go back","Gå tilbake"
"Social Login","Sosial pålogging"
"General","Generell"
"Enable","Aktiver"
"Send Password To Customer","Send passord til kunde"
"Show Social Login Buttons on","Vis sosiale påloggingsknapper på"
"Use Popup Login","Bruk popup-pålogging"
"Popup Effect","Popup-effekt"
"Style Management","Style Management"
"Custom Color","Tilpasset farge"
"Custom CSS","Tilpasset CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Opprett app <a href=""https://developers.facebook.com/apps"" target=""_bank"">her</a>"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Gyldig OAuth-omdirigering av URIer"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Opprett app <a href=""https://code.google.com/apis/console/"" target=""_bank"">her</a>"
"Client ID","klient-ID"
"Client Secret","Klientshemmelighet"
"REDIRECT URIS","REDIREKTE URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Opprett app <a href=""https://dev.twitter.com/apps"" target=""_bank"">her</a>"
"Consumer Key","Forbrukernøkkel"
"Consumer Secret","Forbrukerhemmelig"
"LinkedIn","Linkedin"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Opprett app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">her</a>"
"Id Client","Id Client"
"Secret Client","Secret Client"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Opprett app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">her</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Opprett app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">her</a>"
"Callback Url","Tilbakeringingsadresse Url"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Opprett app <a href=""https://new.vk.com/dev"" target=""_bank"">her</a>"
"Application ID","Program-ID"
"Secure Key","Secure Key"
"Github","GitHub"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Opprett app <a href=""https://github.com/settings/applications/new"" target=""_bank"">her</a>"
