"New User","Nuevo usuario"
"Email is Null, Please enter email in your %1 profile","El correo electrónico es nulo. Ingrese el correo electrónico en su perfil %1."
"Incorrect CAPTCHA.","CAPTCHA incorrecto."
"Data error. Please try again.","Error de datos. Inténtalo de nuevo."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debes confirmar tu cuenta Revise su correo electrónico para ver el enlace de confirmación o <a href=""%1"">haga clic aquí</a> para obtener un nuevo enlace."
"Create an account successfully. Please wait...","Crea una cuenta exitosamente Por favor espera..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ya hay una cuenta con esta dirección de correo electrónico. Si está seguro de que es su dirección de correo electrónico, <a href=""%1"">haga clic aquí</a> para obtener su contraseña y acceder a su cuenta."
"We can't save the customer.","No podemos salvar al cliente."
"Please correct the email address.","Por favor, corrige la dirección de correo electrónico."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hay una cuenta asociada con %1 , recibirá un correo electrónico con un enlace para restablecer su contraseña."
"We're unable to send the password reset email.","No podemos enviar el correo electrónico para restablecer la contraseña."
"Ooophs, we got an error: %1","Ooophs, tenemos un error: %1"
"Default","Defecto"
"Orange","naranja"
"Green","Verde"
"Black","Negro"
"Blue","Azul"
"Dark Blue","Azul oscuro"
"Pink","Rosado"
"Red","rojo"
"Violet","Violeta"
"Custom","Personalizado"
"Zoom","Enfocar"
"Newspaper","Periódico"
"Horizontal move","Movimiento horizontal"
"Move from top","Moverse desde arriba"
"3D unfold","Despliegue 3D"
"Zoom-out","Disminuir el zoom"
"-- Please Select --","- Seleccione -"
"Customer Login Page","Página de acceso del cliente"
"Customer Create Page","Página de creación de cliente"
"Social Popup Login","Inicio de sesión emergente social"
"Login By %1","Login Por %1"
"Sign in with %1","Iniciar sesión con %1"
"Sign In","Registrarse"
"Registered Customers","Clientes Registrados"
"* Required Fields","* Campos requeridos"
"Email","Email"
"Password","Contraseña"
"Login","Iniciar sesión"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"Create New Account?","¿Crear una nueva cuenta?"
"Or Sign In With","O inicia sesión con"
"Create New Account","Crear una nueva cuenta"
"Sign Up for Newsletter","Suscríbete al boletín"
"Address Information","Datos del Domicilio"
"Company","Empresa"
"Phone Number","Número de teléfono"
"Street Address","Dirección"
"Address","Dirección"
"Street Address %1","Dirección postal %1"
"City","Ciudad"
"State/Province","Provincia del estado"
"Please select a region, state or province.","Seleccione una región, estado o provincia."
"Zip/Postal Code","Código postal / postal"
"Country","País"
"Confirm Password","Confirmar contraseña"
"Create an Account","Crea una cuenta"
"Back","Espalda"
"Forgot Password","Se te olvidó tu contraseña"
"Please enter your email address below to receive a password reset link.","Ingrese su dirección de correo electrónico a continuación para recibir un enlace de restablecimiento de contraseña."
"Submit","Enviar"
"Go back","Regresa"
"Social Login","Inicio de sesión social"
"General","General"
"Enable","Habilitar"
"Send Password To Customer","Enviar contraseña al cliente"
"Show Social Login Buttons on","Mostrar botones de inicio de sesión social en"
"Use Popup Login","Use el inicio de sesión emergente"
"Popup Effect","Efecto emergente"
"Style Management","Gestión de estilo"
"Custom Color","Color personalizado"
"Custom CSS","CSS personalizado"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Crear aplicación <a href=""https://developers.facebook.com/apps"" target=""_bank"">aquí</a>"
"Facebook App Id","ID de la aplicación de Facebook"
"Facebook App Secret","Secreto de aplicación de Facebook"
"Valid OAuth redirect URIs","URI de redirección de OAuth válidos"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Crear aplicación <a href=""https://code.google.com/apis/console/"" target=""_bank"">aquí</a>"
"Client ID","Identificación del cliente"
"Client Secret","Secreto del cliente"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Gorjeo"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Crear aplicación <a href=""https://dev.twitter.com/apps"" target=""_bank"">aquí</a>"
"Consumer Key","Clave del consumidor"
"Consumer Secret","Secreto del consumidor"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Crear aplicación <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aquí</a>"
"Id Client","Id Client"
"Secret Client","Cliente secreto"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Crear aplicación <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aquí</a>"
"Foursquare","Firme"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Crear aplicación <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aquí</a>"
"Callback Url","Url de devolución de llamada"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Crear aplicación <a href=""https://new.vk.com/dev"" target=""_bank"">aquí</a>"
"Application ID","ID de aplicación"
"Secure Key","Clave segura"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Crear aplicación <a href=""https://github.com/settings/applications/new"" target=""_bank"">aquí</a>"
