"New User","Нов потребител"
"Email is Null, Please enter email in your %1 profile","Имейлът е празен. Моля, въведете имейл във вашия профил %1"
"Incorrect CAPTCHA.","Грешена CAPTCHA."
"Data error. Please try again.","Грешка в данните. Моля, опитайте отново."
"Please make sure your passwords match.","Моля, уверете се, че паролите съвпадат."
"You must confirm your account. Please check your email for the confirmation link or <a href=\"%1\">click here</a> for a new link.","Трябва да потвърдите акаунта си. Моля, проверете имейла си за връзка за потвърждение или <a href=\"%1\">натиснете тук</a> за нова връзка."
"Create an account successfully. Please wait...","Акаунтът е създаден успешно. Моля, изчакайте..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=\"%1\">click here</a> to get your password and access your account.","Вече съществува акаунт с този имейл адрес. Ако сте сигурни, че това е вашият имейл адрес, <a href=\"%1\">натиснете тук</a>, за да получите паролата си и достъп до акаунта."
"We can't save the customer.","Не можем да запазим клиента."
"Please correct the email address.","Моля, коригирайте имейл адреса."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ако има акаунт, свързан с %1, ще получите имейл с връзка за нулиране на паролата."
"We're unable to send the password reset email.","Не можем да изпратим имейл за нулиране на паролата."
"Ooophs, we got an error: %1","Възникна грешка: %1"
"Default","По подразбиране"
"Orange","Оранжево"
"Green","Зелено"
"Black","Черно"
"Blue","Синьо"
"Dark Blue","Тъмносиньо"
"Pink","Розово"
"Red","Червено"
"Violet","Виолетово"
"Custom","Потребителски"
"Zoom","Увеличаване"
"Newspaper","Вестник"
"Horizontal move","Хоризонтално преместване"
"Move from top","Преместване отгоре"
"3D unfold","3D разгъване"
"Zoom-out","Намаляване"
"-- Please Select --","-- Моля, изберете --"
"Customer Login Page","Страница за вход на клиент"
"Customer Create Page","Страница за създаване на клиент"
"Social Popup Login","Социален вход чрез изскачащ прозорец"
"Login By %1","Вход чрез %1"
"Sign in with %1","Влезте с %1"
"Sign In","Вход"
"Registered Customers","Регистрирани клиенти"
"* Required Fields","* Задължителни полета"
"Email","Имейл"
"Password","Парола"
"Login","Вход"
"Forgot Your Password?","Забравена парола?"
"Create New Account?","Създаване на нов акаунт?"
"Or Sign In With","Или влезте с"
"Create New Account","Създаване на нов акаунт"
"Sign Up for Newsletter","Абонирайте се за бюлетин"
"Address Information","Информация за адрес"
"Company","Компания"
"Phone Number","Телефонен номер"
"Street Address","Улица и номер"
"Address","Адрес"
"Street Address %1","Улица и номер %1"
"City","Град"
"State/Province","Област/Провинция"
"Please select a region, state or province.","Моля, изберете регион, област или провинция."
"Zip/Postal Code","Пощенски код"
"Country","Държава"
"Confirm Password","Потвърдете паролата"
"Create an Account","Създайте акаунт"
"Back","Назад"
"Forgot Password","Забравена парола"
"Please enter your email address below to receive a password reset link.","Моля, въведете имейл адреса си по-долу, за да получите връзка за нулиране на паролата."
"Submit","Изпрати"
"Go back","Върнете се назад"
"Social Login","Социален вход"
"General","Общи настройки"
"Enable","Активиране"
"Send Password To Customer","Изпрати парола на клиента"
"Show Social Login Buttons on","Показване на бутони за социален вход на"
"Use Popup Login","Използване на изскачащ вход"
"Popup Effect","Ефект на изскачащия прозорец"
"Style Management","Управление на стилове"
"Custom Color","Потребителски цвят"
"Custom CSS","Потребителски CSS"
"Facebook","Facebook"
"Create app <a href=\"https://developers.facebook.com/apps\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://developers.facebook.com/apps\" target=\"_bank\">тук</a>"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Валидни OAuth URI за пренасочване"
"Google","Google"
"Create app <a href=\"https://code.google.com/apis/console/\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://code.google.com/apis/console/\" target=\"_bank\">тук</a>"
"Client ID","Client ID"
"Client Secret","Client Secret"
"REDIRECT URIS","URI за пренасочване"
"Twitter","Twitter"
"Create app <a href=\"https://dev.twitter.com/apps\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://dev.twitter.com/apps\" target=\"_bank\">тук</a>"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"LinkedIn","LinkedIn"
"Create app <a href=\"https://www.linkedin.com/secure/developer\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://www.linkedin.com/secure/developer\" target=\"_bank\">тук</a>"
"Id Client","Id Client"
"Secret Client","Secret Client"
"Yahoo","Yahoo"
"Create app <a href=\"https://developer.yahoo.com/apps/\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://developer.yahoo.com/apps/\" target=\"_bank\">тук</a>"
"Foursquare","Foursquare"
"Create app <a href=\"https://www.foursquare.com/oauth/\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://www.foursquare.com/oauth/\" target=\"_bank\">тук</a>"
"Callback Url","Callback Url"
"Instagram","Instagram"
"Create app <a href=\"http://instagram.com/developer/clients/manage/\" target=\"_bank\">here</a>","Създайте приложение <a href=\"http://instagram.com/developer/clients/manage/\" target=\"_bank\">тук</a>"
"Vkontakte","Vkontakte"
"Create app <a href=\"https://new.vk.com/dev\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://new.vk.com/dev\" target=\"_bank\">тук</a>"
"Application ID","Application ID"
"Secure Key","Secure Key"
"Github","Github"
"Create app <a href=\"https://github.com/settings/applications/new\" target=\"_bank\">here</a>","Създайте приложение <a href=\"https://github.com/settings/applications/new\" target=\"_bank\">тук</a>"
