"New User","Nou usuari"
"Email is Null, Please enter email in your %1 profile","El correu electrònic és NULL. Introduïu el correu electrònic al vostre perfil %1"
"Incorrect CAPTCHA.","CAPTCHA incorrecte."
"Data error. Please try again.","Error de dades. Siusplau torna-ho a provar."
"Please make sure your passwords match.","Assegureu-vos que les contrasenyes coincideixin."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Heu de confirmar el vostre compte. Si us plau, consulteu el vostre correu electrònic per obtenir l'enllaç de confirmació o <a href=""%1"">feu clic aquí</a> per obtenir un enllaç nou."
"Create an account successfully. Please wait...","Crea un compte amb èxit. Espereu ..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ja hi ha un compte amb aquesta adreça de correu electrònic. Si esteu segur que és la vostra adreça de correu electrònic, <a href=""%1"">fes clic aquí</a> per obtenir la contrasenya i accedir al vostre compte."
"We can't save the customer.","No podem salvar el client."
"Please correct the email address.","Corregiu l'adreça de correu electrònic."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hi ha un compte associat amb %1 , rebrà un correu electrònic amb un enllaç per restablir la seva contrasenya."
"We're unable to send the password reset email.","No podem enviar el correu electrònic de restabliment de la contrasenya."
"Ooophs, we got an error: %1","Ooophs, tenim un error: %1"
"Default","Per defecte"
"Orange","taronja"
"Green","Verd"
"Black","Negre"
"Blue","Blau"
"Dark Blue","Blau fosc"
"Pink","Rosa"
"Red","Vermell"
"Violet","violeta"
"Custom","Personalitzat"
"Zoom","Zoom"
"Newspaper","Diari"
"Horizontal move","Moviment horitzontal"
"Move from top","Mou de la part superior"
"3D unfold","3D es desplega"
"Zoom-out","Disminuir el zoom"
"-- Please Select --","- Seleccioneu -"
"Customer Login Page","Pàgina d'inici de sessió al client"
"Customer Create Page","Client Crea Pàgina"
"Social Popup Login","Inici de sessió d'emergència social"
"Login By %1","Inicia la sessió per %1"
"Sign in with %1","Inicieu la sessió amb %1"
"Sign In","Inicieu sessió"
"Registered Customers","Clients registrats"
"* Required Fields","* Els camps obligatoris"
"Email","Correu electrònic"
"Password","Contrasenya"
"Login","iniciar Sessió"
"Forgot Your Password?","Has oblidat la teva contrasenya?"
"Create New Account?","Crear un nou compte?"
"Or Sign In With","O inicieu la sessió"
