"New User","Người dùng mới"
"Email is Null, Please enter email in your %1 profile","Email là Null, Vui lòng nhập email trong tiểu sử %1 của bạn"
"Incorrect CAPTCHA.","Mã xác nhận không chính xác."
"Data error. Please try again.","Lỗi dữ liệu. Vui lòng thử lại."
"Please make sure your passwords match.","Hãy chắc chắn rằng mật khẩu của bạn phù hợp."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để biết đường dẫn xác nhận hoặc <a href=""%1"">bấm vào đây</a> để có một liên kết mới."
"Create an account successfully. Please wait...","Tạo một tài khoản thành công. Vui lòng đợi ..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Đã có một tài khoản với địa chỉ email này. Nếu bạn chắc chắn rằng đó là địa chỉ email của bạn, <a href=""%1"">bấm vào đây</a> để lấy mật khẩu và truy cập tài khoản của bạn."
"We can't save the customer.","Chúng tôi không thể cứu khách hàng."
"Please correct the email address.","Vui lòng sửa địa chỉ email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Nếu có một tài khoản liên quan đến %1 , bạn sẽ nhận được một email với một liên kết để đặt lại mật khẩu."
"We're unable to send the password reset email.","Chúng tôi không thể gửi email đặt lại mật khẩu."
"Ooophs, we got an error: %1","Ooophs, chúng tôi đã nhận được lỗi: %1"
"Default","Mặc định"
"Orange","trái cam"
"Green","màu xanh lá"
"Black","Đen"
"Blue","Màu xanh da trời"
"Dark Blue","Xanh đậm"
"Pink","Hồng"
"Red","Đỏ"
"Violet","màu tím"
"Custom","Tập quán"
"Zoom","Thu phóng"
"Newspaper","Báo chí"
"Horizontal move","Di chuyển ngang"
"Move from top","Di chuyển từ trên xuống"
"3D unfold","3D mở ra"
"Zoom-out","Thu nhỏ"
"-- Please Select --","-- Vui lòng chọn --"
"Customer Login Page","Trang đăng nhập khách hàng"
"Customer Create Page","Trang tạo khách hàng"
"Social Popup Login","Social Popup Login"
"Login By %1","Đăng nhập theo %1"
"Sign in with %1","Đăng nhập với %1"
"Sign In","Đăng nhập"
"Registered Customers","Khách hàng đăng ký"
"* Required Fields","* Phần bắt buộc"
"Email","E-mail"
"Password","Mật khẩu"
"Login","Đăng nhập"
"Forgot Your Password?","Quên mật khẩu?"
"Create New Account?","Tạo tài khoản mới?"
"Or Sign In With","Hoặc Đăng nhập bằng"
"Create New Account","Tạo tài khoản mới"
"Sign Up for Newsletter","Đăng ký để nhận Bản Tin"
"Address Information","Thông tin Địa chỉ"
"Company","Công ty"
"Phone Number","Số điện thoại"
"Street Address","Địa chỉ Đường phố"
"Address","Địa chỉ nhà"
"Street Address %1","Địa chỉ %1"
"City","Thành phố"
"State/Province","Tiểu bang / tỉnh"
"Please select a region, state or province.","Vui lòng chọn một vùng, bang hoặc tỉnh."
"Zip/Postal Code","Mã Zip / Mã Bưu điện"
"Country","Quốc gia"
"Confirm Password","Xác nhận mật khẩu"
"Create an Account","Tạo một tài khoản"
"Back","Trở lại"
"Forgot Password","Quên mật khẩu"
"Please enter your email address below to receive a password reset link.","Vui lòng nhập địa chỉ email của bạn bên dưới để nhận liên kết đặt lại mật khẩu."
"Submit","Gửi đi"
"Go back","Quay lại"
"Social Login","Đăng nhập trên mạng xã hội"
"General","Chung"
"Enable","Bật"
"Send Password To Customer","Gửi mật khẩu cho khách hàng"
"Show Social Login Buttons on","Hiển thị nút đăng nhập trên mạng xã hội trên"
"Use Popup Login","Sử dụng Popup Login"
"Popup Effect","Hiệu ứng Popup"
"Style Management","Quản lý Phong cách"
"Custom Color","Tự phối màu"
"Custom CSS","CSS tùy chỉnh"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://developers.facebook.com/apps"" target=""_bank"">tại đây</a>"
"Facebook App Id","Id ứng dụng Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","URI thay đổi OAuth hợp lệ"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://code.google.com/apis/console/"" target=""_bank"">tại đây</a>"
"Client ID","Client ID"
"Client Secret","Khách hàng bí mật"
"REDIRECT URIS","URIS TRỰC TIẾP"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://dev.twitter.com/apps"" target=""_bank"">tại đây</a>"
"Consumer Key","Khóa người tiêu dùng"
"Consumer Secret","Bí mật Người tiêu dùng"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">tại đây</a>"
"Id Client","Khách hàng Id"
